Feature Code,Point / Line,Name,Category
ITFCC,L,Int.Trans.Sys. (ITS) Fiber Cable Quality Level C Visual Inspection (Buried),NOT USED
ITFCD,L,Int.Trans.Sys. (ITS) Fiber Cable Quality Level D Existing Records (Buried),NOT USED
ITPS,P,Int.Trans.Sys. (ITS) Closed Caption TV Power Supply (Wired Solar etc),NOT USED
ITVS,P,Int.Trans.Sys. (ITS) Vehicle Sensor Infared,NOT USED
JB,L,Drainage Junction Box,F-ZONE 2
LANE,P,Lane Symbol,F-ZONE 1
LARW,L,Limited Access Right of Way Lines,F-ZONE 9
LARWP,L,Limited Access Right of Way Lines,F-ZONE 9
LL,L,Lane Lines - Delineates Travel Lanes,F-ZONE 1
LMB,L,Low Members of the Bridge,F-ZONE 4
LOC,L,Construction Limits,F-ZONE 9
LOTLN,L,Government: Lot Line,F-ZONE 9
LP,P,Street Light / Pole,F-ZONE 3
LV,L,Levees Dikes or Dams (Top or Bottom),F-ZONE 1
MAINT,L,Maintenance Line,F-ZONE 9
MAR,L,Edge of Wetlands (Marsh or Swamp),F-ZONE 1
MBX,P,Mailbox(s),F-ZONE 1
ME,P,Meter (Electric),F-ZONE 3
MEDI,L,Median Inlets,F-ZONE 2
MEDRL,L,Government: Meander Line,F-ZONE 9
MERGE,P,Merge Symbol,F-ZONE 1
MES,L,Mitered End Section,F-ZONE 2
MEU,P,Meter (Electric) (Buried),F-ZONE 3
MG,P,Meter (Gas),F-ZONE 3
MH,P,Manhole (Unknown),F-ZONE 3
MHCATV,P,Manhole (Communications),F-ZONE 3
MHD,P,Manhole (Storm Water),F-ZONE 2
MHE,P,Manhole (Electric),F-ZONE 3
MHG,P,Manhole (Gas),F-ZONE 3
MHS,P,Manhole (Sanitary Sewer),F-ZONE 3
MHT,P,Manhole (Telephone),F-ZONE 3
MHW,P,Manhole (Water),F-ZONE 3
MHWL,L,TIITF:Mean High Water Lines or Ordinary High Water Lines,F-ZONE 9
MISC,L,Topography (Miscellaneous),F-ZONE 1
MON,P,Mapping Concrete Monument Right of Way (Annotation Cell),F-ZONE 9
MONRD,P,Mapping Rod Monument Open (Found) (Annotation Cell),F-ZONE 9
MONRDS,P,Mapping Rod Monument Solid (Set) (Annotation Cell),F-ZONE 9
MONSQ,P,Mapping Concrete Monument Open (Found) (Annotation Cell),F-ZONE 9
MONSQS,P,Mapping Concrete Monument Solid (Set) (Annotation Cell),F-ZONE 9
MONW,P,Well Monitoring Taps,F-ZONE 3
MP,L,Pavement Parking Lot/Guardrail/Miscellaneous Pavement,F-ZONE 1
MS,L,Multi-column Sign (Large Sign),F-ZONE 1
MU,P,Meter (Unknown),F-ZONE 3
MURPHY,L,TIITF: Upland TIITF:Murphy Reservations Lines,F-ZONE 9
MW,P,Meter (Water),F-ZONE 3
NL,P,Monuments - Nail Spike Pin,F-ZONE 6
NOTE,P,Text Survey Labels,F-ZONE 1
NPWLA,L,Non-potable Water Line (All Sizes) Quality Level A Locate,F-ZONE 3
NPWLB,L,Non-potable Water Line (All Sizes) Quality Level B Designate (Buried),F-ZONE 3
NPWLC,L,Non-potable Water Line (All Sizes) Quality Level C Visual Inspection (Buried),F-ZONE 3
NPWLD,L,Non-potable Water Line (All Sizes) Quality Level D Existing Records (Buried),F-ZONE 3
NSPF,L,Government: National or State Park or Forest Line,F-ZONE 9
OBSC,L,Obscured Area,F-ZONE 1
OM,P,Monuments - Other Marker?,F-ZONE 6
ONLY,P,Only Symbol,F-ZONE 1
OP,P,Ornamental Plant,F-ZONE 1
PAVBRK,L,Pavement Slope Break Line,F-ZONE 1
PCULV,L,Pipe Culvert,F-ZONE 2
PETROA,L,Oil Line (All Sizes) Quality Level A Locate,F-ZONE 3
PETROB,L,Oil Line (All Sizes) Quality Level B Designate (Buried),F-ZONE 3
PETROC,L,Oil Line (All Sizes) Quality Level C Visual Inspection (Buried),F-ZONE 3
PETROD,L,Oil Line (All Sizes) Quality Level D Existing Records (Buried),F-ZONE 3
PHW,P,Potential Hazardous Waste Site (Old Gas Stations Dry Cleaners etc.),F-ZONE 1
PIL,P,Pilings Piers or Columns,F-ZONE 1
PILE,L,Pilings and Columns (All Types),F-ZONE 1
PIP,P,Monuments - Metal Pipe Rod Bar,F-ZONE 6
PIPENA,L,Pipe Encasements Quality Level A Locate,F-ZONE 3
PIPENB,L,Pipe Encasements Quality Level B Designate (Buried),F-ZONE 3
PIPENC,L,Pipe Encasements Quality Level C Visual Inspection (Buried),F-ZONE 3
